word,key
阿哈,阶级、阶层
辛者库,阶级、阶层
身者库,阶级、阶层
良民,阶级、阶层
贱民,阶级、阶层
驿卒,阶级、阶层
涿鹿之战,历史事件、一般制度.先　秦
阪泉之战,历史事件、一般制度.先　秦
禅让,历史事件、一般制度.先　秦
兄终弟及,历史事件、一般制度.先　秦
方,历史事件、一般制度.先　秦
九世之乱,历史事件、一般制度.先　秦
孟津之会,历史事件、一般制度.先　秦
牧野之战,历史事件、一般制度.先　秦
三监,历史事件、一般制度.先　秦
授土授民,历史事件、一般制度.先　秦
成康之治,历史事件、一般制度.先　秦
宗法制,历史事件、一般制度.先　秦
分封制,历史事件、一般制度.先　秦
食封制,历史事件、一般制度.先　秦
乡遂,历史事件、一般制度.先　秦
昭王南征,历史事件、一般制度.先　秦
共和行政,历史事件、一般制度.先　秦
宣王中兴,历史事件、一般制度.先　秦
平王东迁,历史事件、一般制度.先　秦
攜王奸命,历史事件、一般制度.先　秦
五霸,历史事件、一般制度.先　秦
宿之盟,历史事件、一般制度.先　秦
石门之盟,历史事件、一般制度.先　秦
邓之会,历史事件、一般制度.先　秦
需葛之战,历史事件、一般制度.先　秦
速杞之战,历史事件、一般制度.先　秦
长勺之战,历史事件、一般制度.先　秦
北杏之会,历史事件、一般制度.先　秦
阳谷(穀)之会,历史事件、一般制度.先　秦
召陵之会,历史事件、一般制度.先　秦
葵丘之会,历史事件、一般制度.先　秦
韩原之战,历史事件、一般制度.先　秦
泛舟之役,历史事件、一般制度.先　秦
作州兵,历史事件、一般制度.先　秦
作爰田,历史事件、一般制度.先　秦
盂之会,历史事件、一般制度.先　秦
泓水之战,历史事件、一般制度.先　秦
城濮之战,历史事件、一般制度.先　秦
作三军,历史事件、一般制度.先　秦
作三行,历史事件、一般制度.先　秦
践土之盟,历史事件、一般制度.先　秦
温之会,历史事件、一般制度.先　秦
殽之战,历史事件、一般制度.先　秦
彭衙之战,历史事件、一般制度.先　秦
夷蒐之法,历史事件、一般制度.先　秦
河曲之战,历史事件、一般制度.先　秦
辰陵之盟,历史事件、一般制度.先　秦
邲之战,历史事件、一般制度.先　秦
清丘之盟,历史事件、一般制度.先　秦
初税亩,历史事件、一般制度.先　秦
作丘甲,历史事件、一般制度.先　秦
蜀之盟,历史事件、一般制度.先　秦
绕角之战,历史事件、一般制度.先　秦
马陵之盟,历史事件、一般制度.先　秦
宋之盟,历史事件、一般制度.先　秦
